wallet_address,confidence_label,composite_rank,composite_score,in_scope_trade_count,in_scope_volume_usd,clean_activity_records,raw_activity_records,activity_capped,wash_vol_share,wash_label,primary_conviction_signal,primary_signal_trade_count,primary_signal_notional_usd,primary_signal_implied_profit_usd,size_anomaly_signal,size_anomaly_trade_count,scope_concentration_signal,middling_price_accuracy_signal,middling_price_trade_count,middling_price_hit_rate,sweep_penalty,near_certain_correct_share
0x3dd2db2d398ff72c2c71c9ad6473368b941e9ab1,Insufficient data,162,0.0,0,0,2000,2000,True,0.0,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x3de2e890c758a13eb23afa4faee3bd49e68c0c64,Volume farmer,163,0.0,0,0,741,2000,True,0.7041,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x3f62acb989dd53789f8453faa0b24060656ae744,Insufficient data,164,0.0,0,0,1538,2000,True,0.3676,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x3f7aee8f1fafcd873343105b24f83f3f98a9248e,Insufficient data,165,0.0,0,0,1998,2000,True,0.0023,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x410aa391edffa58af64517ec579af5def62b2643,Insufficient data,166,0.0,1,4950.0,1844,2000,True,0.0769,clean,0.0,0,0,0,0.0,0,0.0034,0.0,0,0.0,0.099,1.0
0x421bf8e567f99bb544f317f38fe71719dbb6ac12,Benign sharp,167,0.0,16,42957.0,1856,2000,True,0.2212,partial_washer,0.0,0,0,0,0.4,2,0.0226,0.0,0,0.0,0.8591,1.0
0x431d42d5696ffa1eb52cd230bf3c03081a62a7d9,Volume farmer,168,0.0,0,0,91,112,False,0.9357,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x43372356634781eea88d61bbdd7824cdce958882,Insufficient data,169,0.0,0,0,1717,2000,True,0.1822,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x438ed5bed99bc6b517e9b5a22ad3ee9e21d9e08e,Insufficient data,170,0.0,123,16038.3,1640,2000,True,0.327,partial_washer,0.0,0,0,0,0.0,0,0.009,0.0,0,0.0,0.1681,0.7409
0x43cfb584c8bfa7f322ea258e251bd656b30788fa,Volume farmer,171,0.0,0,0,1187,2000,True,0.5398,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x448861155279dbf833d041b963e3ac854599e319,Insufficient data,172,0.0,0,0,1820,2000,True,0.1074,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,Insufficient data,173,0.0,0,0,1793,2000,True,0.2101,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x44d6fd72a9e97120632c785c5085d55a97c7497f,Volume farmer,174,0.0,48,26640.09,1724,2000,True,0.6001,volume_farmer,0.0,0,0,0,0.0,0,0.1458,0.0,0,0.0,0.3597,0.9804
0x44ef50f4a67c47044efa972cb7dbe9878932ff3d,Insufficient data,175,0.0,4,167.27,1366,1720,False,0.16,partial_washer,0.0,0,0,0,0.0,0,0.0001,0.0,0,0.0,0.001,0.5558
0x45670b57336cefce56a327a657848b8fb84f6731,Insufficient data,176,0.0,0,0,145,145,False,0.0,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x457391bfdebea6a2dc05035bbc306a822e6c51b7,Volume farmer,177,0.0,0,0,54,66,False,0.9094,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x45b0efd6a5bdbd114d9ed30c505cfbaea1eb4857,Insufficient data,178,0.0,0,0,1858,2000,True,0.0715,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x45b39e1f71e47fd4afe4b988ffad690b644735bc,Insufficient data,179,0.0,0,0,2000,2000,True,0.0,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x45fcded0698185e85f5bd6fb5ad3b739be8a2bf4,Volume farmer,180,0.0,0,0,46,56,False,0.9008,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x46a126607ef4636590a5fe002176af5af33c6cde,Volume farmer,181,0.0,0,0,42,2000,True,0.9979,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x46ab24b8e105e5ebfa978926d270ca62f834596b,Volume farmer,182,0.0,0,0,36,58,False,0.726,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x477f156a229f1a174fdf945c778b7362dd2b19aa,Insufficient data,183,0.0,0,0,1917,2000,True,0.0494,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x47ab026767cc320ac6e62f6ec747d59cf4d795df,Insufficient data,184,0.0,0,0,1722,2000,True,0.2255,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x47ae6d13566c3418c4795c98ced1f197575eee94,Volume farmer,185,0.0,0,0,1093,2000,True,0.6228,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x4825c873a8c890bdaff00d253a23e8e09eb95ec5,Volume farmer,186,0.0,0,0,1585,2000,True,0.5271,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x4877cfd42b6cc1b1e26d6823c168f568b0f0d812,Volume farmer,187,0.0,0,0,234,532,False,0.9867,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x490f66ea703fc8fae19fd231c9921e3f4c0c17e5,Volume farmer,188,0.0,0,0,617,2000,True,0.793,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x4a3efb4e4d233fbb6e6488e393434670b82a3f97,Insufficient data,189,0.0,0,0,51,51,False,0.0,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x4b2995b6c8cc2cf56899ad62ee87c3f70c97716f,Insufficient data,190,0.0,1,16036.08,874,1030,False,0.3011,partial_washer,0.0,0,0,0,0.0,0,0.0156,0.0,0,0.0,0.3207,1.0
0x4b7410aefbf0f38012b0dfb1131a4de147a9e8d7,Volume farmer,191,0.0,0,0,591,2000,True,0.8552,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x4cc3522b689a6bf1fb4a2444c523e7776db47552,Insufficient data,192,0.0,0,0,1664,2000,True,0.3226,partial_washer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x4df7da721042bf8b75bd1cb7acbeb7f83aaf522d,Insufficient data,193,0.0,0,0,1986,2000,True,0.0003,clean,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x50bf938a81e4d9d990a96a7243ba4588c06c33e5,Volume farmer,194,0.0,0,0,47,57,False,0.911,volume_farmer,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
0x5113b2664ff778bed9e64c15e20d4caae11fe446,Insufficient data,195,0.0,1,11493.27,1404,2000,True,0.3056,partial_washer,0.0,0,0,0,0.2,1,0.0074,0.0,0,0.0,0.2299,1.0
