wallet_pseudonym,market_condition_id,market_question,chart_label,timestamp_utc,relative_time_to_resolution,price,is_candidate_buy
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T05:35:50+00:00,0.213651,0.2105,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:11:48+00:00,0.271156,0.205,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:11:54+00:00,0.271193,0.205,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:11:58+00:00,0.271217,0.204,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:12:04+00:00,0.271254,0.204,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:12:10+00:00,0.271291,0.204,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:12:12+00:00,0.271303,0.204,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:12:16+00:00,0.271328,0.204,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:16:08+00:00,0.272754,0.203,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:28:32+00:00,0.277325,0.205741,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:28:38+00:00,0.277362,0.206,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:28:58+00:00,0.277485,0.21,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T08:59:08+00:00,0.288608,0.221638,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T09:10:52+00:00,0.292934,0.26,False
Kevindoto,0x2a46bac806f455a2fd53322cd830298d2ff86a1a6e40f5133e03786396d5445b,Will The Weeknd be the third most streamed Spotify artist for 2025?,Kevindoto - Will The Weeknd be the third most streamed Spotify artist for 2025?,2025-12-02T09:11:36+00:00,0.293204,0.276,False
