wallet_address,total_vol_usd,wash_vol_usd,total_n,wash_n,wash_vol_share,wash_n_share,clean_vol_usd,label
0x270dd1bef16d2e48d6ccc8bd61a26d10ae298475,62439.53,0.0,4,0,0.0,0.0,62439.53,clean
0x8795bcb2fe129d1ea3e3d73bc13a3d8078047544,1430882.35,37029.79,2000,122,0.0259,0.061,1393852.57,clean
0x28b255ed9747765be4f44ce484532d4b6bdfa74f,2019013.0,265572.0,2000,143,0.1315,0.0715,1753441.0,partial_washer
0xde0463ea7f611b065e8ab06bbfbddad75e6dfa37,218202.43,0.0,2000,0,0.0,0.0,218202.43,clean
0xdf1b70066e58788c7b05c53dd9cc4fd412d2b963,4343586.97,504329.27,2000,183,0.1161,0.0915,3839257.71,partial_washer
0x448861155279dbf833d041b963e3ac854599e319,548408.08,58905.74,2000,180,0.1074,0.09,489502.34,partial_washer
0x7789957157a13aa3610e26d61ef8f99317b7a280,714310.6,107071.79,2000,204,0.1499,0.102,607238.82,partial_washer
0x122cdd9db64fd8dc3ebab813218e3effe21f821f,2308622.74,1091623.96,2000,334,0.4728,0.167,1216998.78,partial_washer
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,659956.74,48163.31,2000,204,0.073,0.102,611793.43,clean
0xbb8e6477bcb4d0a79449507c607d36fd228fb243,3512027.28,853072.89,2000,192,0.2429,0.096,2658954.4,partial_washer
0x6e6ceb124dbda7711e09de01775ed8329ed7e358,317069.92,264265.54,39,25,0.8335,0.641,52804.38,volume_farmer
0x9c41bbce730df864e2f6deaa3ad40e868b9064be,121479.14,101123.32,299,33,0.8324,0.1104,20355.82,volume_farmer
0x9be90ea78bff3f81f3564a11d5e12b2a0783c030,77541.26,445.85,2000,28,0.0057,0.014,77095.41,clean
0x35bbbad2415fe5e39b12da9a316cdc80b022009b,1458231.51,1114972.14,2000,1465,0.7646,0.7325,343259.37,volume_farmer
0xd923b58e7874de549b0b9bd07db49eeb2878f400,1482690.77,331834.19,2000,291,0.2238,0.1455,1150856.58,partial_washer
0x38e59b36aae31b164200d0cad7c3fe5e0ee795e7,128456.74,8601.12,2000,65,0.067,0.0325,119855.61,clean
0xc851cd9bee7d262afd78674f861f9f576a12cd2a,2340484.33,680943.56,2000,285,0.2909,0.1425,1659540.77,partial_washer
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,479686.46,49126.64,2000,7,0.1024,0.0035,430559.83,partial_washer
0xc65fa568479fafe40c99d08d7de4379bc860a150,674742.05,239932.86,308,101,0.3556,0.3279,434809.2,partial_washer
0x1c1e841584db14084e10e7dca2ad0ab7b60dbfe7,521521.12,303351.67,2000,716,0.5817,0.358,218169.45,volume_farmer
0x2d99e29c4f066ba32098c65e4c7454b277d94ca3,5722497.25,1170279.43,2000,565,0.2045,0.2825,4552217.82,partial_washer
0x3f62acb989dd53789f8453faa0b24060656ae744,156767.8,57631.77,2000,462,0.3676,0.231,99136.03,partial_washer
0xba7586133ec7d540651f46d9d873abd7022c5eed,512790.7,465484.43,107,21,0.9077,0.1963,47306.27,volume_farmer
0x0f0f78dfb8c7bf67e52f3a7cae03722f95fac8ae,1062493.64,998182.73,620,286,0.9395,0.4613,64310.91,volume_farmer
0x5f390e4b7d6f06d6756a6c92afdbf7b3176aa78c,15660.59,1.22,2000,8,0.0001,0.004,15659.38,clean
0xba88bcd6e865c9de1b9850f74f5ad6af90053138,1310290.14,3490.77,655,9,0.0027,0.0137,1306799.37,clean
0x89e0552b897baa5486a45ff257a39858a79a9412,194709.51,10760.74,2000,56,0.0553,0.028,183948.77,clean
0xd0394bd0de8d901c3fde039a86bf08e6aa4a2532,732279.72,190426.28,2000,1090,0.26,0.545,541853.44,partial_washer
0xda475f640892d0014c086b7e4f25317f5778f40a,1336808.71,581033.86,2000,705,0.4346,0.3525,755774.85,partial_washer
0x9f83f83bdfc209c6fade8a2c77ea9667e9176cd9,775424.63,197637.74,2000,567,0.2549,0.2835,577786.89,partial_washer
0x5858196bbcb5059a7f67904deb06755dc2adfbbf,1389537.14,461986.01,2000,594,0.3325,0.297,927551.13,partial_washer
0xf9b6943d8cce124603a8c7ef8a02191a487761ce,3023182.34,1420731.47,2000,664,0.4699,0.332,1602450.87,partial_washer
0x069acf9916370eef6c6a541f12cd96632ed44634,45821.98,42.79,141,2,0.0009,0.0142,45779.19,clean
0xd6ce651998b7a30ff3384e5a01feab8a2da00772,1569308.99,469399.44,2000,467,0.2991,0.2335,1099909.55,partial_washer
0x438ed5bed99bc6b517e9b5a22ad3ee9e21d9e08e,1717612.19,561718.57,2000,360,0.327,0.18,1155893.62,partial_washer
0x6a7e51ddb54bdc376fd721a6cc610ccc42ccecbf,89687.68,16574.61,26,2,0.1848,0.0769,73113.07,partial_washer
0x551e72eda42a5ab39d6d78239a1d9bbb5db6b0e0,2377888.98,178740.75,2000,51,0.0752,0.0255,2199148.23,clean
0xd748c701ad93cfec32a3420e10f3b08e68612125,2529504.48,566304.87,2000,279,0.2239,0.1395,1963199.62,partial_washer
0x17ce7c9a7f768bfa98946caf7d64c9e051f5beec,587131.34,232294.41,2000,567,0.3956,0.2835,354836.94,partial_washer
0x69645cea639e7a19cbde6c126a197bc1abafef53,612909.69,147458.2,2000,404,0.2406,0.202,465451.49,partial_washer
0xa81eefec9c08fa157d855f1ac5caf8feab1903dc,1311842.51,279575.09,2000,172,0.2131,0.086,1032267.42,partial_washer
0xf0d9af9effd0b4a039899901ba19a05ea1a3e4ee,2158848.71,275121.6,2000,106,0.1274,0.053,1883727.12,partial_washer
0x6a8604701d472f663de6fb6625cf33bc303e927e,241014.59,234825.96,212,101,0.9743,0.4764,6188.63,volume_farmer
0x410aa391edffa58af64517ec579af5def62b2643,1578137.8,121329.52,2000,156,0.0769,0.078,1456808.28,clean
0x995937f2b90f0235b9773baa4bc83455ada8d99b,272100.72,16236.61,176,24,0.0597,0.1364,255864.11,clean
0x030602fd60446b5766940a4be32b8c015c096f12,604557.94,459751.22,735,502,0.7605,0.683,144806.72,volume_farmer
0xec3ab7f7b240e61434b66e18c004353976dfa709,387511.74,9652.8,2000,130,0.0249,0.065,377858.93,clean
0x5a218c7ad04135830a45c41aaed7294df7809318,71310.98,2181.83,2000,18,0.0306,0.009,69129.15,clean
0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,677287.7,18814.69,2000,142,0.0278,0.071,658473.01,clean
0xe9d54da2c77d27b6daa31c346794b22d10986b9a,426597.23,347014.6,1021,436,0.8134,0.427,79582.63,volume_farmer
0xc658c7e5a12900a313ca6a8eacd8e383234d6c1b,505851.79,465925.35,82,14,0.9211,0.1707,39926.43,volume_farmer
0x088ffbbc6f2c0b3839d2832e75f37e1bcecbc9e7,1440390.6,1061173.13,2000,1623,0.7367,0.8115,379217.47,volume_farmer
0xe3479950ef6e8984df109ec5c9be40630f9fb438,63339.03,0.0,2000,0,0.0,0.0,63339.03,clean
0xcbd53c3e41081ee5125820fa5be42f49d7066962,410064.79,372946.26,77,12,0.9095,0.1558,37118.54,volume_farmer
0x19d8989ff39d548ccc2348ceaeaa4f61f9406466,500332.62,461257.3,78,16,0.9219,0.2051,39075.32,volume_farmer
0x01ed5c64d1d8905afd7917d75a5652665f5cca5f,292218.04,68.82,2000,2,0.0002,0.001,292149.22,clean
0x257ccc9c7642d3e13c355805630fe3169f752cfe,408770.44,370108.94,117,14,0.9054,0.1197,38661.5,volume_farmer
0x43372356634781eea88d61bbdd7824cdce958882,414783.18,75562.5,2000,283,0.1822,0.1415,339220.69,partial_washer
0xf36ca6d2bbe5c1f761dfe09af614196f85eb49e5,150859.88,27663.28,86,10,0.1834,0.1163,123196.6,partial_washer
0xa1ffbb2952fcd18b3b4759ccddeb7fdf90f655bd,706651.1,485321.0,2000,1115,0.6868,0.5575,221330.1,volume_farmer
0xcbca2986f03b9704d922ca031a4380103ae4145d,162056.88,158832.61,118,62,0.9801,0.5254,3224.27,volume_farmer
0xb18cc2896c1c8f984dfad2ddf673306e3a2ab41e,356759.39,1163.83,346,2,0.0033,0.0058,355595.56,clean
0xfbfb0883a151234e76a5a5ea72ffc5f47e9df563,2380505.83,0.0,2000,0,0.0,0.0,2380505.83,clean
0xeface9902242b0399856f981600b907dcc9bc9a1,81692.07,3376.6,2000,82,0.0413,0.041,78315.47,clean
0xa9e8faf20424f3efbf12abaea0e7069d7546c443,1747110.41,1025696.45,2000,750,0.5871,0.375,721413.96,volume_farmer
0xe6266639b0f2fe7019b5a04f02f60d8a13276771,2219421.17,98169.29,2000,17,0.0442,0.0085,2121251.88,clean
0x3cf2836aac4fc58b7bfa40151e9f2d4c02911fac,220617.56,203353.72,63,14,0.9217,0.2222,17263.84,volume_farmer
0x8a37fe3a49a36de9facd04bd09ee379211f7c99c,1558619.44,0.0,2000,0,0.0,0.0,1558619.44,clean
0x93d44e7cb426a5a1085cc0ce314b8f2befba7345,378718.76,8025.84,1034,16,0.0212,0.0155,370692.92,clean
0x0c4b64af62a0ac3dd477e9f80ec3eaa18e92f6db,3919074.02,1588728.49,2000,325,0.4054,0.1625,2330345.53,partial_washer
0x7e97bd09c2ccc632fb728d91b7c37d8ec5f34d54,23024428.14,2254518.22,2000,64,0.0979,0.032,20769909.92,clean
0x7bb7bccc02fec3d93b311695a42b251e465e44f2,1457311.23,966078.67,2000,1329,0.6629,0.6645,491232.55,volume_farmer
0x431d42d5696ffa1eb52cd230bf3c03081a62a7d9,535682.13,501261.26,112,21,0.9357,0.1875,34420.87,volume_farmer
0xd904ab5a9a24d704eac4a82d99527b68cded4295,500639.55,90692.39,606,225,0.1812,0.3713,409947.16,partial_washer
0xeb7456f7f5429912a6135caae264cc2d368efad6,2156792.83,129269.55,1242,31,0.0599,0.025,2027523.28,clean
0x5113b2664ff778bed9e64c15e20d4caae11fe446,2221734.08,678907.39,2000,596,0.3056,0.298,1542826.69,partial_washer
0x7a146c5e70c092d06be27097a5c770b49d0bd748,111905.69,12880.71,2000,106,0.1151,0.053,99024.97,partial_washer
0xd43fc4ecfaf5a3d75d79c4d046d2dced9e9ef1fc,875221.99,220725.19,281,111,0.2522,0.395,654496.79,partial_washer
0xcf73add1c409656c18b3d44b2e2aed28d6cbc54f,35914.33,0.0,203,0,0.0,0.0,35914.33,clean
0xc4086b708cd3a50880b7069add1a1a80000f4675,2960288.07,1300308.34,2000,1124,0.4393,0.562,1659979.73,partial_washer
0x061d42892935c2d96e618830b3c93e6e467e0dd3,21020.98,0.0,2000,0,0.0,0.0,21020.98,clean
0x3dd2db2d398ff72c2c71c9ad6473368b941e9ab1,46221.1,0.0,2000,0,0.0,0.0,46221.1,clean
0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8,656053.81,172347.19,2000,602,0.2627,0.301,483706.62,partial_washer
0xd5aff8ad5f04e6b2307882c085ee3bbd0ba05d38,1044168.2,419.58,2000,2,0.0004,0.001,1043748.62,clean
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,1278844.74,139612.65,2000,456,0.1092,0.228,1139232.09,partial_washer
0xf03b828ecb3d6aca0de71f5b09d2e639790f1196,820180.83,30188.89,2000,42,0.0368,0.021,789991.94,clean
0x0ed41b9fa5f935f771e6cefa05e52809e5e04547,513039.07,208775.66,2000,626,0.4069,0.313,304263.4,partial_washer
0x5eec1b59273669498cd2cbdda7947a46087ef4e2,778333.13,484929.22,2000,1071,0.623,0.5355,293403.92,volume_farmer
0xa8c63f775ddbbe66b56614191747def3021444e8,486501.82,201575.89,2000,776,0.4143,0.388,284925.92,partial_washer
0x6996ae50436e2e72ab1777df915b40ad0bb6408d,524559.12,86962.53,1042,163,0.1658,0.1564,437596.59,partial_washer
0x8f7bb1d97c28278e28943b8481f1a1651605154b,818499.76,596404.52,2000,835,0.7287,0.4175,222095.24,volume_farmer
0x0b644e443a404159a7b5ca4650cf2444b13549bd,640825.51,317645.44,2000,900,0.4957,0.45,323180.07,partial_washer
0xe1194d05876b71b05572c1b59bd49a157f21e30f,5077077.02,2211666.37,2000,366,0.4356,0.183,2865410.64,partial_washer
0x955c9661bf6e010beff0ba896a49f715a8c8990f,2712868.43,608990.98,2000,118,0.2245,0.059,2103877.45,partial_washer
0x0260366a9add43c25d4f4d35d2210526c6750d88,1861704.51,1662656.39,2000,1736,0.8931,0.868,199048.12,volume_farmer
0xbf4b67a4c363a5954c2e015dafca3dbb7ebe1b8b,2650611.69,1188966.16,1219,234,0.4486,0.192,1461645.54,partial_washer
0x84f831a945c64c5fe0a5fc9e543ff08f1026d348,875360.04,291760.87,809,336,0.3333,0.4153,583599.17,partial_washer
0xcaab19659b995951a44cc992447cb2ad5be324dd,442681.58,70210.54,2000,339,0.1586,0.1695,372471.05,partial_washer
0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,581843.6,185940.19,2000,1035,0.3196,0.5175,395903.41,partial_washer
0x8c1b9c4412cdf596d97d36632ff9b6e8ac960c85,124477.48,110198.65,43,8,0.8853,0.186,14278.83,volume_farmer
0xd8cae792b3d84d6888080401423e973337287229,444673.78,10426.7,2000,22,0.0234,0.011,434247.08,clean
0xbb9c165825e9f233d1f611b50b193fe94513072b,1112443.88,50539.55,2000,309,0.0454,0.1545,1061904.33,clean
0x43cfb584c8bfa7f322ea258e251bd656b30788fa,278415.07,150299.24,2000,813,0.5398,0.4065,128115.83,volume_farmer
0x2375550d3b98ce364476c81f663a0b878cb0691f,65130.12,560.61,2000,22,0.0086,0.011,64569.51,clean
0xf98b622967de1bfc84585ea7abdf1f9199a3bfc5,992606.64,338481.74,2000,308,0.341,0.154,654124.9,partial_washer
0xaee8e802e29a2dd32d6234a3d28e3bd7e2ca6eeb,806144.62,404609.92,2000,715,0.5019,0.3575,401534.7,volume_farmer
0x8ad71d502126d9531bf0a8ba4c7ae24281e0c55b,1680941.06,1263133.72,1745,1108,0.7514,0.635,417807.35,volume_farmer
0x50bf938a81e4d9d990a96a7243ba4588c06c33e5,160092.11,145846.62,57,10,0.911,0.1754,14245.49,volume_farmer
0x0247aba898420d81ae413e08f169e4b4574dbb07,25637.84,4632.21,2000,32,0.1807,0.016,21005.64,partial_washer
0x26a9db0464b0223ec750d64db9c8f3b27dc2f6b7,177908.74,20013.47,2000,54,0.1125,0.027,157895.26,partial_washer
0x357ecb1969b0a288d37e6a28223e620ef2082a0c,646629.01,122881.62,2000,253,0.19,0.1265,523747.4,partial_washer
0x71ca04d689bc38c5e4dcda8a4d743f279c5a3501,1052139.68,209021.51,2000,122,0.1987,0.061,843118.18,partial_washer
0x17fdaec5c74beb575741765e486ae115197f976f,411511.98,252114.76,315,169,0.6127,0.5365,159397.22,volume_farmer
0x45670b57336cefce56a327a657848b8fb84f6731,140979.4,0.0,145,0,0.0,0.0,140979.4,clean
0xf5d92058c977a9c957c6cbfbe3e9a27c83a9be50,2232864.45,1093196.35,2000,600,0.4896,0.3,1139668.1,partial_washer
0x631c2b93ff03c21d29b2b73af4ff965e88ea450f,1884478.05,895412.82,2000,638,0.4752,0.319,989065.23,partial_washer
0xe864cadf3bb8ca35ae036070b6da40e56a21ce58,228290.07,171206.81,2000,953,0.75,0.4765,57083.26,volume_farmer
0x924459f9dbdac960edfc02ac45e0db92df2f4b6e,487653.55,190458.82,1366,313,0.3906,0.2291,297194.74,partial_washer
0x1e55408f217f58facdf1d663c74cfa7f55e9e3e2,883342.25,544791.7,2000,1035,0.6167,0.5175,338550.55,volume_farmer
0x08ce2678c929934de9edea698a998aea9dbc295e,3283198.63,298321.64,2000,357,0.0909,0.1785,2984876.99,clean
0x662244931c392df70bd064fa91f838eea0bfd7a9,756756.13,352999.52,2000,645,0.4665,0.3225,403756.62,partial_washer
0x3376af22d333213cc84be18e9687d421ef5d3c7f,111912.37,20.0,2000,2,0.0002,0.001,111892.37,clean
0x7ebb515c9764303d960badf8a91c7e8635e0ea5c,164963.17,151372.5,71,16,0.9176,0.2254,13590.66,volume_farmer
0xaac2469db4c243a2931acc252967b171bd97e8ce,1965849.06,665560.89,2000,837,0.3386,0.4185,1300288.17,partial_washer
0x710dc6879d28f9f078ad04fb493129790a9e33d3,24968.39,0.0,1,0,0.0,0.0,24968.39,clean
